name,city,state
Escola Tal, Fortaleza, CE
EEMTI Adauto Bezerra,Fortaleza,CE
EEMTI José de Alencar,Fortaleza,CE
EEMTI Dom Helder Câmara,Fortaleza,CE
EEMTI Liceu do Ceará,Fortaleza,CE
EEMTI Presidente Castelo Branco,Fortaleza,CE
EEFMI Escola do Diogo, Fortaleza,CE
